"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	11	30206	Unreliable	0.028%
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	19	29768	Unreliable	0.049%
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	11	15273	Unreliable	0.028%
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	11	27358	Unreliable	0.028%
	"Mobile County, AL"	"01097"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	10	19679	Unreliable	0.026%
	"Anchorage Borough, AK"	"02020"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	13	16365	Unreliable	0.033%
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	10	125048	Unreliable	0.026%
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	17	142790	Unreliable	0.044%
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	19	78407	Unreliable	0.049%
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	30	150726	19.904	0.077%
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	23	166838	13.786	0.059%
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	17	50857	Unreliable	0.044%
