County,Mean Annual Frequency,"Crude Rate/ 100,000 Residents","Age-Adjusted Rate/ 100,000 Residents",,,
Albany 25 8.2 8.2,,,,,,
Allegany 4 7.4** 7.9**,,,,,,
Broome 21 10.7 11.2,,,,,,
Bronx 129 9.2 9.5,,,,,,
Cattaraugus 4 5.0 5.8,,,,,,
Cayuga 9 11.1 10.6,,,,,,
Chautauqua 11 8.4 9.1,,,,,,
Chemung 12 13.5 13.8,,,,,,
Chenango 4 7.2** 7.1**,,,,,,
Clinton 6 7.3 6.5,,,,,,
Columbia 6 9.0 9.2,,,,,,
Cortland 2 4.9** 4.7**,,,,,,
Delaware 5 10.8 12.4,,,,,,
Dutchess 45 15.1 15.0,,,,,,
Erie 94 10.3 10.5,,,,,,
Essex 3 8.3** 9.1**,,,,,,
Franklin 4 7.8 6.9,,,,,,
Fulton 5 8.7 8.7,,,,,,
Genesee 5 7.8 7.9,,,,,,
Greene 7 15.2 15.9,,,,,,
Hamilton * * *,,,,,,
Herkimer 5 7.6 7.6,,,,,,
Jefferson 11 9.6 9.6,,,,,,
Kings 185 7.2 7.1,,,,,,
Lewis 2 6.7** 7.6**,,,,,,
Livingston 5 7.5 8.2,,,,,,
Madison 7 9.2 9.8,,,,,,
Monroe 66 8.9 8.7,,,,,,
Montgomery 3 5.3** 5.3**,,,,,,
Nassau 127 9.4 9.6,,,,,,
New York 131 8.1 7.4,,,,,,
Niagara 26 12.2 12.5,,,,,,
Oneida 17 7.3 7.5,,,,,,
Onondaga 47 10.2 10.0,,,,,,
Ontario 7 6.5 6.4,,,,,,
Orange 47 12.3 12.4,,,,,,
Orleans 2 4.3** 4.3**,,,,,,
Oswego 16 12.8 13.1,,,,,,
Otsego 5 7.8 9.1,,,,,,
Putnam 10 10.2 10.5,,,,,,
Queens 138 6.0 5.6,,,,,,
Rensselaer 13 8.5 8.2,,,,,,
Richmond 71 14.7 14.2,,,,,,
Rockland 20 6.5 6.9,,,,,,
St. Lawrence 7 6.3 5.9,,,,,,
Saratoga 11 5.0 4.9,,,,,,
Schenectady 11 7.1 7.3,,,,,,
Schoharie 1 3.8** 4.5**,,,,,,
Schuyler 1 6.5** 5.3**,,,,,,
Seneca 4 10.4** 11**,,,,,,
Steuben 6 6.3 6.2,,,,,,
Suffolk 221 14.6 14.6,,,,,,
Sullivan 14 17.8 18.4,,,,,,
Tioga 3 5.2** 5.5**,,,,,,
Tompkins 9 8.6 9.9,,,,,,
Ulster 20 11.2 11.2,,,,,,
Warren 3 4.3** 3.9**,,,,,,
Washington 3 5.1** 5**,,,,,,
Wayne 6 6.7 7.0,,,,,,
Westchester 69 7.2 6.9,,,,,,
Wyoming 3 6.7** 6.6**,,,,,,
Yates 1 5.6** 6**,,,,,,
New York City 654 7.8 7.5,,,,,,
"Rest of State 1,099 9.8 9.8",,,,,,
"Statewide 1,755 9.0 8.7",,,,,,
